campus;curso;disciplina;horario;semestre
02;36;23;24m45;2023_1
02;36;23;24m45;2024_1
02;29;24;35m23;2022_2
02;29;24;35m23;2024_2
01;15;25;24m12;2022_2
01;15;25;35m56;2024_1
01;15;25;35m56;2024_2
01;15;25;35n23;2023_1
02;37;26;35n45;2022_2
02;09;27;6m23;2022_2
02;09;27;6m23;2024_2
02;09;27;6n23;2022_2
02;09;27;6n23;2024_2
02;18;28;24n23;2024_2
02;35;28;24m23;2023_1
02;35;28;24m23;2024_1
02;06;29;24m23;2022_2
02;06;29;24m23;2023_1
02;06;29;24m23;2024_1
02;06;29;24m23;2024_2
01;12;29;46m34;2023_1
01;12;29;46m34;2024_1
01;13;29;24m34;2022_2
01;13;29;46m56;2023_1
01;13;29;46m56;2024_1
01;13;29;46m56;2024_2
01;15;29;24n45;2022_2
01;15;29;24n45;2024_2
01;15;29;46m12;2023_1
01;15;29;46m12;2024_1
03;16;29;24m45;2023_1
03;16;29;24m45;2024_1
03;16;29;24m45;2024_2
03;16;29;24t45;2023_1
03;16;29;56t23;2022_2
03;17;29;24t23;2023_1
02;17;29;35t12;2024_1
02;18;29;24n23;2022_2
02;18;29;24n23;2024_2
03;19;29;24m23;2023_1
03;19;29;24m23;2024_1
01;20;29;46t34;2022_2
01;20;29;46t34;2023_1
01;20;29;46t34;2024_1
01;20;29;46t34;2024_2
02;23;29;24t12;2024_2
02;23;29;35t12;2022_2
02;24;29;35m23;2024_2
02;26;29;24t12;2023_1
02;26;29;24t12;2024_1
02;30;29;24m45;2023_1
02;30;29;24m45;2024_1
02;37;29;24n45;2022_2
02;37;29;24n45;2024_2
02;10;30;46m45;2022_2
02;10;30;46m45;2024_2
02;10;30;46n45;2022_2
02;10;30;46n45;2024_2
